Class Name,Class Code,Department,Units,Class Description,Class URL
Academic Writing,AC ENG 20A,Academic English,5 Units,"Grammar, sentence structure, paragraph and essay organization of formal written English. Prerequisite: Placement into AC ENG 20A. Grading Option: Pass/no pass only.",https://catalogue.uci.edu/allcourses/ac_eng/
Academic Writing,AC ENG 20B,Academic English,5 Units,"Grammar, sentence structure, paragraph and essay organization of formal written English. Prerequisite: AC ENG 20A. Placement into AC ENG 20B is also accepted. Grading Option: Pass/no pass only.",https://catalogue.uci.edu/allcourses/ac_eng/
Essentials of Academic Writing,AC ENG 20C,Academic English,5 Units,"Grammar, sentence structure, paragraph and essay organization of formal written English. Prerequisite: AC ENG 20B. Placement into AC ENG 20C is also accepted. Grading Option: Pass/no pass only.",https://catalogue.uci.edu/allcourses/ac_eng/
Academic Writing,AC ENG 20D,Academic English,5 Units,"Grammar, sentence structure, paragraph and essay organization of formal written English. Prerequisite: AC ENG 20C Grading Option: Pass/no pass only.",https://catalogue.uci.edu/allcourses/ac_eng/
Academic English Reading and Vocabulary,AC ENG 22A,Academic English,2 Units,"Intensive reading exercises with occasional practice in extensive reading, focusing on comprehension, development of vocabulary, syntax, rhetorical features, reading strategies, and study skills. Prerequisite: Placement into AC ENG 22A is required.",https://catalogue.uci.edu/allcourses/ac_eng/
ESL Reading and Vocabulary,AC ENG 22B,Academic English,2 Units,"Extensive reading and discussion with emphasis on journal articles, textbook chapters, notetaking, and the interpretation of charts, diagrams, tables, and figures. Grading Option: Pass/no pass only.",https://catalogue.uci.edu/allcourses/ac_eng/
Special Topics in ESL,AC ENG 29,Academic English,2 Units,"Directed and individualized work in English as a second language not covered in the AC ENG 20, 21, 22 sequence. Grading Option: Pass/no pass only. Repeatability: Unlimited as topics vary.",https://catalogue.uci.edu/allcourses/ac_eng/
Advanced Academic Writing Across the Curriculum,AC ENG 139W,Academic English,4 Units,"Designed for transfer students who speak English as a second language. Focuses on developing academic reading and writing skills including essay content, organization, vocabulary, and grammar. Academic content also covered. Prerequisite: Satisfactory completion of the Lower-Division Writing requirement. Restriction: Restricted to students whose first language is not English. (Ib)",https://catalogue.uci.edu/allcourses/ac_eng/
Oral English Communication I,AC ENG 200,Academic English,2 Units,"Designed to help students hear and produce the sounds of English as an International Language with greater accuracy and confidence. Focuses on pronunciation features (e.g., consonant sounds, consonant clusters, vowels, thought groups, and nuclear stress). Grading Option: Satisfactory/unsatisfactory only. Repeatability: May be taken for credit 3 times. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/ac_eng/
Oral English Communication II,AC ENG 201,Academic English,2 Units,"Designed to help students develop conversational fluency in English as an International Language. Focuses on applying knowledge of linguistic features and communicative skills during conversational exchange in a variety of social, academic, and professional contexts. Grading Option: Satisfactory/unsatisfactory only. Repeatability: May be taken for credit 3 times. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/ac_eng/
Oral English Communication III,AC ENG 202,Academic English,2 Units,"Designed to help students hone their public speaking skills in English as an International Language. Focuses on preparing, organizing, and delivering speeches and presentations and interacting with the audience, emphasizing skills needed in academic settings. Prerequisite: AC ENG 23A or AC ENG 23B Grading Option: Satisfactory/unsatisfactory only. Repeatability: May be taken for credit 3 times. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/ac_eng/
Introduction to Graduate Research Writing,AC ENG 210,Academic English,2 Units,"Designed to introduce key components and skills for successful graduate-level academic writing. Topics cover summarizing and synthesizing sources, understanding appropriate source use conventions, developing and organizing ideas for research writing, revising, and editing. Grading Option: Satisfactory/unsatisfactory only. Repeatability: May be taken for credit 3 times. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/ac_eng/
Graduate Writing for Scholarly Publication,AC ENG 211,Academic English,2 Units,Designed to help graduate students in the preparation of a conference paper or journal manuscript for publication. Topics cover writing for academic publication in their fields and understanding disciplinary source use conventions. Grading Option: Satisfactory/unsatisfactory only. Repeatability: May be taken for credit 3 times. Restriction: Graduate students only.,https://catalogue.uci.edu/allcourses/ac_eng/
Thesis/Dissertation Writing for Graduate Students,AC ENG 212,Academic English,2 Units,"Designed to help graduate students in the preparation of a thesis/dissertation (or proposal). Topics cover planning a thesis/dissertation project, understanding the focuses and goals of different chapters, and practicing different ways of integrating sources to avoid plagiarism. Grading Option: Satisfactory/unsatisfactory only. Repeatability: May be taken for credit 3 times. Restriction: Graduate students only.",https://catalogue.uci.edu/allcourses/ac_eng/
African American Studies I,AFAM 40A,African American Studies,4 Units,Discusses main contours of African American experience from the forced importation of Africans into the Americas in the late fifteenth century to the development of social movements in post-emancipation societies of the late nineteenth and twentieth centuries. ((III or IV) and VII ).,https://catalogue.uci.edu/allcourses/afam/
African American Studies II,AFAM 40B,African American Studies,4 Units,"Introduction to the history of modern racial thinking in Western society and its relationship to the material contexts of racial oppression, with emphasis on its development in British colonies and U.S. ((III or IV) and VII ).",https://catalogue.uci.edu/allcourses/afam/
African American Studies III,AFAM 40C,African American Studies,4 Units,"Introduction to theories of racial blackness in the modern world, with emphasis on developments in British colonies and U.S. Traces emergence of blackness as term of collective identity, social organization, and political mobilization. ((III or IV) and VII ).",https://catalogue.uci.edu/allcourses/afam/
Introductory Topics in African American Studies,AFAM 50,African American Studies,4 Units,"Introduction to a broad range of topics in African American studies, exploring history, literature, art, culture, politics, and contemporary social issues. Topical organization of courses addresses issues that have been of importance historically and are reshaping the African diaspora today. Repeatability: Unlimited as topics vary.",https://catalogue.uci.edu/allcourses/afam/
Modern African American Art,AFAM 111A,African American Studies,4 Units,"Investigates the history of modern African American art; emphasis on the politics of representation. Examines art in a variety of media from material culture and textiles to painting and photography. Issues of migration, nationalism, gender, sexuality, and hybridity are discussed. Same as AHIS 164A.",https://catalogue.uci.edu/allcourses/afam/
Contemporary African American Art,AFAM 111B,African American Studies,4 Units,"Investigates the history of contemporary African American art; emphasis on the politics of representation. Explores art in a variety of media: painting, sculpture, photography, installation, and new media. Cultural politics, appropriation, identity, gender, sexuality, hybridity and civil rights issues discussed. Same as AHIS 164B.",https://catalogue.uci.edu/allcourses/afam/
Early African American Literature,AFAM 112A,African American Studies,4 Units,"Examines the earliest forms of black literary practices, including the jeremiad, the slave narrative, the pamphlet, poetry, the short story, and how these literary forms are related to the historical experiences of enslavement and emancipation. Repeatability: Unlimited as topics vary.",https://catalogue.uci.edu/allcourses/afam/
African American Literature 1900-Present,AFAM 112B,African American Studies,4 Units,"Examines individual literary forms and/or authors, as well as movements such as the Harlem Renaissance and the Black Arts Movement. Explores how black literary practices represent the conditions of modern subjectivities and environments. Repeatability: Unlimited as topics vary.",https://catalogue.uci.edu/allcourses/afam/
African American Cinema and Media,AFAM 113,African American Studies,4 Units,"Explores the diversity of Black creative production and the historical, social, and economic forces that shaped their emergence. May include Black film, hip-hop culture, fine art, photography, and others. Repeatability: Unlimited as topics vary.",https://catalogue.uci.edu/allcourses/afam/
International Cultures,AFAM 114,African American Studies,4 Units,"Explores the various cultures of the African diaspora and their impacts on a global scale. Examines a diverse range of media, including music (reggae, hip-hop), literature, film, and others and the links between culture and social movements throughout the diaspora. Repeatability: Unlimited as topics vary. 2315",https://catalogue.uci.edu/allcourses/afam/
Race and Visual Representation,AFAM 115,African American Studies,4 Units,"Examines film, documentary, fine art, photography, and other visual media to explore the multiple ways in which ideas about race are projected and woven through the visual landscape and the impacts this has on perpetuating social inequalities. Repeatability: Unlimited as topics vary.",https://catalogue.uci.edu/allcourses/afam/
Topics in African American Humanities,AFAM 118,African American Studies,4 Units,"Provides students with an opportunity to pursue advanced work in African American studies from one or more humanities approaches (literature, film and media studies, art history, and others). Repeatability: Unlimited as topics vary.",https://catalogue.uci.edu/allcourses/afam/
African American Women in Art,AFAM 125,African American Studies,4 Units,"Examines depictions of and by African American women in art and popular culture through a variety of media including textiles, painting, sculpture, photography, and installation. Focuses on African American women's experiences, perspectives, and strategies for contemporary representation. Same as AHIS 164D.",https://catalogue.uci.edu/allcourses/afam/
Topics in Gender/Sexuality,AFAM 128,African American Studies,4 Units,Expressions of genders and sexualities across the spectrum of African American experience and creativity. Repeatability: Unlimited as topics vary.,https://catalogue.uci.edu/allcourses/afam/
Caribbean History: Colonization to Emancipation,AFAM 134A,African American Studies,4 Units,"Exploration of the history of the archipelago from pre-Columbian times to the end of slavery; examining the impact of European colonization, decimation of the indigenous populations, African slavery, resistance, and emancipation; the unity and diversity of experience in region. Same as HIST 164A.",https://catalogue.uci.edu/allcourses/afam/
Caribbean History: Emancipation to Independence,AFAM 134B,African American Studies,4 Units,"Post-emancipation and anti-colonial struggles ending with political independence for most of the region. Examines social, political, economic, cultural dimensions of post-emancipation period, including large-scale migration to Central America, the U.S., and Britain; the region's global cultural and political contribution. Same as HIST 164B.",https://catalogue.uci.edu/allcourses/afam/
History of the African Diaspora,AFAM 137,African American Studies,4 Units,"Examines the causes and consequences of the multiple diasporas of African peoples since the sixteenth century in the Atlantic world, especially the Americas and Europe. Same as HIST 134E.",https://catalogue.uci.edu/allcourses/afam/
Topics in African American History,AFAM 138,African American Studies,4 Units,Studies in selected areas of African American history. Topics addressed vary each quarter. Repeatability: Unlimited as topics vary. Same as HIST 150.,https://catalogue.uci.edu/allcourses/afam/
Topics in African American Music,AFAM 143,African American Studies,4 Units,"Examines African American musical forms and traditions, such as blues, jazz, and reggae, in performance and/or critical and theoretical contexts. Repeatability: Unlimited as topics vary.",https://catalogue.uci.edu/allcourses/afam/
Topics in Expressive Forms,AFAM 144,African American Studies,4 Units,"Examines various forms of aesthetic expression in the African diaspora, including dance, music, and the plastic arts, as well as artistic visions of black cyberspace, digital activism, film, video, and aesthetic conceptions of the future. Repeatability: Unlimited as topics vary.",https://catalogue.uci.edu/allcourses/afam/
African Americans and Photography,AFAM 145,African American Studies,4 Units,Explores depictions of and by African Americans through photography. Examines the history of photography in relationship to African American culture through a variety of media from early daguerreotype processes to digital imagery. Same as AHIS 164E. 2316,https://catalogue.uci.edu/allcourses/afam/
Comparative Minority Politics,AFAM 151,African American Studies,4 Units,"Examines the political experiences of Blacks, Latinos, and Asian Americans in the United States from roughly 1950 to the present. Focuses on how each group has pursued political empowerment via both conventional political channels and social movements. Same as ASAM 132, CHLT 147, PLSC 124C.",https://catalogue.uci.edu/allcourses/afam/
African American Politics,AFAM 152,African American Studies,4 Units,"Examines politics of African Americans in order to gain a broader perspective of the American political process. Major developments in African American politics (including the civil rights movement, Black presidential bids), continuing problem of racism, responsiveness of key governing institutions. Same as PLSC 124E.",https://catalogue.uci.edu/allcourses/afam/
African American Psychology,AFAM 153,African American Studies,4 Units,"Historical overview of the development of black psychology and the African American frame of reference. Topics include personality development, psychological assessment, issues in education, black mental health, and the role of the African American psychologist in the community. Same as PSYC 174E.",https://catalogue.uci.edu/allcourses/afam/
African American Social Formations,AFAM 154,African American Studies,4 Units,"Topics which promote critical investigation into the historical, political, and social formations associated with the Black Diaspora. Repeatability: Unlimited as topics vary.",https://catalogue.uci.edu/allcourses/afam/
Intercultural Studies,AFAM 155,African American Studies,4 Units,"Studies relationships between various cultural formations within the Black Diaspora and the exchange, amalgamations, and tensions between Black Diasporic formations and non-Black formations. Examines expressions of racialization as representation, adaption, and resistance. Repeatability: Unlimited as topics vary.",https://catalogue.uci.edu/allcourses/afam/
African Societies and Politics,AFAM 156,African American Studies,4 Units,"Examines the violent incorporation of Africa within European modernity. Places the discourse of Pan-Africanism, African Nationalisms, Negritude, African Marxism, and/or African Socialism in juxtaposition to the forces of capitalism, colonialism, and imperialism that restructure African history. Repeatability: Unlimited as topics vary.",https://catalogue.uci.edu/allcourses/afam/
Critical Race Theory,AFAM 157,African American Studies,4 Units,"Introduction to Critical Race Theory and key American cases on racial inequality. Using this literature, examines the possibilities and pitfalls of legal claims of race, gender, and sexuality discrimination in the age of colorblindness. Same as CLS C178. Restriction: Upper-division students only. African-American Studies Majors have first consideration for enrollment. Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment.",https://catalogue.uci.edu/allcourses/afam/
Topics in African American Social Sciences,AFAM 158,African American Studies,4 Units,"Provides students with an opportunity to pursue advanced work in African American studies from one or more social science approaches (psychology, sociology, anthropology, economics, and others). Repeatability: Unlimited as topics vary.",https://catalogue.uci.edu/allcourses/afam/
Prisons and Public Education,AFAM 159,African American Studies,4 Units,Looks at the connections between schools and prisons in the United States. Students learn about ideas that push beyond common trope of the �school to prison pipeline.�. Same as ANTH 138.,https://catalogue.uci.edu/allcourses/afam/
The Black Protest Tradition,AFAM 162W,African American Studies,4 Units,History and discourses of the black protest tradition. Traces emergence of black protest against racial slavery and white supremacy from the early colonial period to present and the complex elaboration of identity politics within black communities in the twentieth century. Prerequisite: Satisfactory completion of the Lower-Division Writing requirement. Restriction: Upper-division students only. (Ib),https://catalogue.uci.edu/allcourses/afam/
